geography_type,geo_count,median_shift_shock_vs_pre,median_shift_recent_vs_pre,median_shift_recent_vs_shock,median_max_abs_mean_shift,p90_max_abs_mean_shift
zori_zip,752,0.003594256961345252,-0.0014288034152071948,-0.004460725840510516,0.00498315527139628,0.008947321484948794
zori_city,368,0.003490120339236735,-0.001338226228801718,-0.004333230058346703,0.004918496025962931,0.008337061422966172
zori_msa,182,0.0037523709912959946,-0.0002733356516792286,-0.0038702820411218196,0.004639947916385465,0.007929890126145155
zori_country,1,0.0029790916607166586,-0.001239006109136674,-0.004218097769853333,0.004218097769853333,0.004218097769853333
