geography_type,row_count,geo_count,total_variance,between_geography_variance,within_geography_variance,between_share,within_share
zori_zip,69058,752,0.00012512222800803463,1.3843994928656242e-05,0.00012356923556136295,0.11064376928907677,0.9875881969862944
zori_city,46386,368,6.459457671836374e-05,9.618116479780137e-07,6.369168061428048e-05,0.014889975240051045,0.9860221066542484
zori_msa,23541,182,4.3114868002613864e-05,7.367633485223823e-07,4.2439773295405484e-05,0.01708838232968069,0.984341951199585
zori_country,132,1,2.0505992963720543e-05,0.0,2.0505992963720543e-05,0.0,1.0
