geography_entity_id,geography_type,geography_name,mean_abs_target_pre_2020,mean_abs_target_recent_2023_plus,mean_abs_target_shock_2020_2022,mean_target_pre_2020,mean_target_recent_2023_plus,mean_target_shock_2020_2022,row_count_pre_2020,row_count_recent_2023_plus,row_count_shock_2020_2022,std_target_pre_2020,std_target_recent_2023_plus,std_target_shock_2020_2022,mean_shift_shock_vs_pre,mean_shift_recent_vs_pre,mean_shift_recent_vs_shock,max_abs_mean_shift
geo:zori:city:30742,zori_city,Cape Coral (FL),0.005624778696213142,0.003907378471487368,0.013489139883006323,0.004555627516873584,-0.0026854841907085892,0.012555541404131279,59.0,37.0,36.0,0.006051040843578838,0.004321545666451341,0.010198154688520374,0.007999913887257695,-0.007241111707582173,-0.015241025594839868,0.015241025594839868
geo:zori:city:31614,zori_city,Fort Myers (FL),0.006063476815015271,0.0045109260216843194,0.011722580287032205,0.004574960024444776,-0.0033260873541343296,0.010844476476806777,59.0,37.0,33.0,0.005896623173645813,0.005027223223001477,0.009798938089730447,0.0062695164523620004,-0.007901047378579107,-0.014170563830941106,0.014170563830941106
geo:zori:city:19533,zori_city,Naples (FL),0.008618740199158786,0.006967905264329552,0.017630606795176626,0.0034189986140254324,-0.0006901275340673134,0.012880293666942608,59.0,37.0,36.0,0.01093182507474097,0.008448412043067637,0.018193234640216098,0.009461295052917176,-0.004109126148092746,-0.013570421201009921,0.013570421201009921
geo:zori:city:5595,zori_city,Lehigh Acres (FL),0.007004420001300058,0.006366067653094917,0.012824242511655487,0.005436884704688289,-0.0004307991972061486,0.012397235359870624,59.0,37.0,36.0,0.007159290304477345,0.007538382333657521,0.00937267325155008,0.006960350655182335,-0.005867683901894438,-0.012828034557076772,0.012828034557076772
geo:zori:city:20362,zori_city,Sarasota (FL),0.005754683033866064,0.004987922150527989,0.013786294328371694,0.0031263280200625053,-0.0007946916143055783,0.010955749579455639,59.0,37.0,36.0,0.006152192647339011,0.006122720031977825,0.014431329409336932,0.007829421559393134,-0.003921019634368084,-0.011750441193761217,0.011750441193761217
geo:zori:city:47570,zori_city,Santa Maria (CA),,0.009020904250779442,0.021143742497514908,,0.0002659103408114919,0.011548438013319319,,37.0,21.0,,0.0114124816597263,0.02242408915512469,,,-0.011282527672507828,0.011282527672507828
geo:zori:city:44282,zori_city,Bradenton (FL),0.007249606835638654,0.00452729097004538,0.013655113218716229,0.0034205654210527794,-0.0006451040874694283,0.010443798387557988,59.0,37.0,36.0,0.008216945675997607,0.0056782254694725575,0.015129439062003558,0.007023232966505208,-0.004065669508522208,-0.011088902475027416,0.011088902475027416
geo:zori:city:31209,zori_city,Delray Beach (FL),0.007900314502561585,0.005295540030691262,0.013573215687110564,0.003862409349263361,0.0010164822692715378,0.012058019474972398,59.0,37.0,36.0,0.009168867660095142,0.006803415253694933,0.01491339130781836,0.008195610125709036,-0.0028459270799918233,-0.01104153720570086,0.01104153720570086
geo:zori:city:32060,zori_city,Hollywood (FL),0.005109984284083248,0.003541315724183324,0.01210636442428778,0.0032576819541663086,0.0005656191627590593,0.011321644683753398,59.0,37.0,36.0,0.005487459937721773,0.004279917066397066,0.010186582589114042,0.00806396272958709,-0.002692062791407249,-0.010756025520994339,0.010756025520994339
geo:zori:city:12317,zori_city,Largo (FL),0.006324338290079596,0.005086764319799106,0.01389985697568594,0.004499762769179087,0.0011346886468348299,0.011814813783862378,59.0,37.0,36.0,0.006451284792286041,0.006302697208355439,0.015814190884736755,0.007315051014683291,-0.003365074122344257,-0.010680125137027548,0.010680125137027548
