experiment_key,experiment_label,surface_note,holdout_rows,holdout_geo_count,y_true_std,naive_mae,linear_mae,mae_gain_vs_naive,relative_gain_pct,normalized_linear_mae,normalized_naive_mae,train_rows,validation_rows
exp_001,exp_001 baseline mixed surface,mixed_national_surface,12557,1268,0.009564674951700979,0.008896414761169015,0.006820860588313405,0.0020755541728556103,0.2333023165595841,0.7131304119331713,0.9301324724670209,106563,12557
exp_002,exp_002 Philadelphia consistent baseline,philly_city_plus_msa_context,20,2,0.0018365677450265638,0.0016471752058566647,0.0012886836912808502,0.00035849151457581496,0.21764018381357939,0.7016804551700383,0.8968769109210508,214,20
exp_003,exp_003 Philadelphia regional ZIP panel,philly_regional_zip_surface,336,34,0.01197684946111455,0.012840828095703003,0.009353588278049722,0.0034872398176532806,0.2715743713460532,0.7809723507353233,1.072137387832547,1690,336
