experiment_key,experiment_label,geography_entity_id,geography_type,name,holdout_rows,y_true_std,naive_mae,linear_mae,mae_gain_vs_naive,relative_gain_pct,normalized_linear_mae,normalized_naive_mae
exp_001,exp_001 baseline mixed surface,geo:zori:zip:61788,zori_zip,10312 (NY),10,0.04569201677477318,0.04255755143184645,0.03498669941643235,0.007570852015414101,0.17789679529703203,0.7657070509469983,0.9314001533708339
exp_001,exp_001 baseline mixed surface,geo:zori:zip:76971,zori_zip,44060 (OH),1,,0.028436910002795704,0.031957422448820307,-0.0035205124460246026,-0.12380080837469655,,
exp_001,exp_001 baseline mixed surface,geo:zori:zip:62015,zori_zip,11204 (NY),10,0.03690295489248867,0.04284839756862016,0.03134993146098623,0.01149846610763393,0.2683523016052013,0.8495236100285098,1.161110206308754
exp_001,exp_001 baseline mixed surface,geo:zori:zip:62023,zori_zip,11212 (NY),10,0.04006416196001769,0.028846379146182453,0.02875211456154204,9.426458464041921e-05,0.0032678134112680913,0.7176517155216029,0.7200045560660896
exp_001,exp_001 baseline mixed surface,geo:zori:zip:61808,zori_zip,10468 (NY),10,0.03388175330138887,0.03761137351470361,0.028740062166241188,0.00887131134846242,0.23586778464749,0.848246013439425,1.1100775446931153
exp_001,exp_001 baseline mixed surface,geo:zori:zip:61807,zori_zip,10467 (NY),10,0.033818016014868314,0.04360987707407316,0.02754658364597597,0.01606329342809719,0.36834071787941586,0.8145535099949368,1.289545698213041
exp_001,exp_001 baseline mixed surface,geo:zori:zip:62019,zori_zip,11208 (NY),7,0.028675291280954467,0.03266005092348771,0.026071413834147145,0.006588637089340575,0.20173382781232313,0.9091943854625546,1.1389614355959425
exp_001,exp_001 baseline mixed surface,geo:zori:zip:61798,zori_zip,10458 (NY),8,0.030419411734208934,0.0382933938405234,0.025823327974621252,0.01247006586590215,0.3256453559022468,0.848909512131721,1.2588472839354607
exp_001,exp_001 baseline mixed surface,geo:zori:zip:96510,zori_zip,91770 (CA),10,0.027273769018881542,0.033440479854580166,0.025012258107342828,0.00842822174723733,0.25203650736737143,0.9170811005265507,1.2261040940630328
exp_001,exp_001 baseline mixed surface,geo:zori:zip:96370,zori_zip,91344 (CA),10,0.027185336301849,0.03238535523870907,0.023555777556629763,0.00882957768207931,0.27264106312860903,0.8664883632514645,1.1912802872520063
exp_001,exp_001 baseline mixed surface,geo:zori:zip:97286,zori_zip,93458 (CA),10,0.030863894255356752,0.03406109247206371,0.02307661396163613,0.010984478510427578,0.32249342910644596,0.7476896392499447,1.1035902401121027
exp_001,exp_001 baseline mixed surface,geo:zori:zip:97995,zori_zip,95127 (CA),7,0.02071086822355986,0.030970006527732942,0.022370392220983897,0.008599614306749043,0.27767557294662765,1.0801281713306559,1.4953504697839126
exp_001,exp_001 baseline mixed surface,geo:zori:zip:92120,zori_zip,77840 (TX),10,0.0351683017335746,0.03245528354068951,0.02209264503799924,0.010362638502690268,0.3192897233419183,0.6281976651976844,0.9228561500228765
exp_001,exp_001 baseline mixed surface,geo:zori:zip:72370,zori_zip,33032 (FL),10,0.027987628115382256,0.03264116641942566,0.02191650033979006,0.0107246660796356,0.32856258694398416,0.7830781604442053,1.166271264033474
exp_001,exp_001 baseline mixed surface,geo:zori:zip:92324,zori_zip,78228 (TX),10,0.021423987457363135,0.029930747188242412,0.021769937293901802,0.00816080989434061,0.2726564038984764,1.0161477800165426,1.3970670608265139
exp_001,exp_001 baseline mixed surface,geo:zori:zip:60609,zori_zip,07105 (NJ),4,0.028226405365376392,0.038582185038016255,0.0213573976083266,0.01722478742968965,0.44644406253086805,0.7566460316808323,1.3668826950718516
exp_001,exp_001 baseline mixed surface,geo:zori:city:24174,zori_city,Compton (CA),10,0.0332467891870507,0.023688625809367668,0.02134887490933831,0.0023397509000293608,0.09877106924050048,0.6421334339754375,0.7125086779385649
exp_001,exp_001 baseline mixed surface,geo:zori:zip:90769,zori_zip,75217 (TX),10,0.028342848260853447,0.024328794814190764,0.02121425184768282,0.0031145429665079397,0.12801879379126727,0.7484869428942857,0.8583750860280754
exp_001,exp_001 baseline mixed surface,geo:zori:city:17882,zori_city,East Los Angeles (CA),10,0.027289619345794304,0.02322520487686437,0.021130081991237316,0.002095122885627049,0.09020901631374162,0.7742900962997032,0.851063717033623
exp_001,exp_001 baseline mixed surface,geo:zori:zip:65859,zori_zip,19320 (PA),10,0.023208005660935945,0.030370296117077995,0.021124455651101888,0.009245840465976107,0.30443695479073496,0.9102227894859092,1.3086129226604646
exp_001,exp_001 baseline mixed surface,geo:zori:zip:61809,zori_zip,10469 (NY),10,0.02786861215669197,0.02853527208486072,0.02100420674347937,0.00753106534138135,0.26392127325734976,0.753686858368931,1.0239215331004083
exp_001,exp_001 baseline mixed surface,geo:zori:zip:91732,zori_zip,77083 (TX),10,0.028213747452841033,0.02671467538663096,0.02071796343961193,0.005996711947019029,0.2244725739778224,0.7343215740568237,0.9468673181853721
exp_001,exp_001 baseline mixed surface,geo:zori:zip:97104,zori_zip,93033 (CA),9,0.02166118984175421,0.028946346997019964,0.0200336207572096,0.008912726239810367,0.30790504379457395,0.9248624338535966,1.336323037122497
exp_001,exp_001 baseline mixed surface,geo:zori:zip:96125,zori_zip,90280 (CA),10,0.02617072338006459,0.02838012171535399,0.019927310217648108,0.008452811497705883,0.29784267955175153,0.7614352086586812,1.084422516840799
exp_001,exp_001 baseline mixed surface,geo:zori:zip:61802,zori_zip,10462 (NY),10,0.02317715790090097,0.02169894104261079,0.0196958043702261,0.0020031366723846896,0.09231495069050036,0.8497937691256123,0.9362209609732729
exp_001,exp_001 baseline mixed surface,geo:zori:zip:62118,zori_zip,11432 (NY),10,0.022736414526588214,0.02273473389700782,0.01922886372619986,0.0035058701708079606,0.15420766245561282,0.8457298182927397,0.9999260820311651
exp_001,exp_001 baseline mixed surface,geo:zori:zip:62084,zori_zip,11372 (NY),10,0.020144133330898477,0.02798644927666801,0.019158143313513752,0.00882830596315426,0.31544930462165915,0.9510532420934513,1.3893101687199638
exp_001,exp_001 baseline mixed surface,geo:zori:zip:96883,zori_zip,92504 (CA),10,0.01874536097961816,0.028699494078098194,0.019088827061053682,0.009610667017044511,0.3348723496968827,1.0183227243161106,1.5310184802150872
exp_001,exp_001 baseline mixed surface,geo:zori:zip:95992,zori_zip,90011 (CA),7,0.025214319929514575,0.02617019515326057,0.01904415505727977,0.007126040095980801,0.27229602432265243,0.7552912436471336,1.0379100140879507
exp_001,exp_001 baseline mixed surface,geo:zori:zip:60565,zori_zip,07055 (NJ),6,0.022064176596951736,0.024083733329646917,0.01839878499367012,0.005684948335976797,0.23604929759700766,0.8338758943858342,1.0915310264954186
exp_001,exp_001 baseline mixed surface,geo:zori:zip:90768,zori_zip,75216 (TX),10,0.02332845615811954,0.02228307387247182,0.018221666491189344,0.00406140738128248,0.18226423358493113,0.7810918291242019,0.9551885354709223
exp_001,exp_001 baseline mixed surface,geo:zori:zip:90780,zori_zip,75228 (TX),10,0.021566852845961035,0.02397725957617257,0.018152545614104034,0.0058247139620685355,0.24292659232237082,0.8416872755499688,1.111764416784758
exp_001,exp_001 baseline mixed surface,geo:zori:zip:96339,zori_zip,91304 (CA),10,0.01763690536510033,0.027773173783476924,0.01780190797570444,0.00997126580777248,0.359025075258222,1.0093555307571482,1.5747192156756766
exp_001,exp_001 baseline mixed surface,geo:zori:zip:96018,zori_zip,90037 (CA),10,0.020683867659524676,0.02084168545956,0.01749079110449071,0.003350894355069291,0.16077847262262798,0.8456247831597592,1.0076299946718452
exp_001,exp_001 baseline mixed surface,geo:zori:zip:96868,zori_zip,92407 (CA),10,0.021437746336792927,0.02026190661602423,0.017370836425394432,0.0028910701906298005,0.14268500222695643,0.8102920965895288,0.9451509639914603
exp_001,exp_001 baseline mixed surface,geo:zori:zip:76539,zori_zip,43130 (OH),10,0.019114662592897517,0.02081765299946523,0.01736960389579533,0.0034480491036698994,0.16563102016151746,0.9087057546205078,1.0890934066082074
exp_001,exp_001 baseline mixed surface,geo:zori:zip:90779,zori_zip,75227 (TX),10,0.0197525091689107,0.02540866312185374,0.01735224325063596,0.00805641987121778,0.3170737410536383,0.8784829867563044,1.2863511620004966
exp_001,exp_001 baseline mixed surface,geo:zori:zip:97567,zori_zip,94112 (CA),10,0.02402907928434506,0.01978274382206455,0.01734651063822245,0.0024362331838421,0.123149407673412,0.721896600071718,0.8232834719952422
exp_001,exp_001 baseline mixed surface,geo:zori:zip:96656,zori_zip,92114 (CA),10,0.020417256290781786,0.02433103475704083,0.01723494277695972,0.007096091980081111,0.2916477680024549,0.8441360842759831,1.1916897359037455
exp_001,exp_001 baseline mixed surface,geo:zori:zip:76796,zori_zip,43701 (OH),9,0.02066239149450777,0.02063731425216159,0.01718914218804362,0.003448172064117967,0.16708434159531194,0.8319047769766937,0.9987863339849675
exp_001,exp_001 baseline mixed surface,geo:zori:zip:97329,zori_zip,93551 (CA),10,0.017164524689816964,0.02547239389961205,0.017135575892912,0.00833681800670005,0.32728835929421696,0.9983134518765826,1.484013939210552
exp_001,exp_001 baseline mixed surface,geo:zori:zip:62039,zori_zip,11229 (NY),10,0.02126939221664989,0.01587470826754198,0.017025577106156688,-0.00115086883861471,-0.07249700713983005,0.8004731368312865,0.7463639819061262
exp_001,exp_001 baseline mixed surface,geo:zori:zip:62034,zori_zip,11223 (NY),10,0.021225629715862743,0.02110496496345356,0.016822552436427902,0.00428241252702566,0.2029101936175353,0.7925584617098899,0.9943151391019035
exp_001,exp_001 baseline mixed surface,geo:zori:zip:94725,zori_zip,85009 (AZ),10,0.018410658843521104,0.02394541665897722,0.01672887672429109,0.00721653993468613,0.30137458192779554,0.9086517145570893,1.3006279059591532
exp_001,exp_001 baseline mixed surface,geo:zori:zip:399727,zori_zip,78542 (TX),7,0.023091551194027404,0.026066221164424586,0.016591695547364543,0.009474525617060043,0.36347906193594953,0.7185180158730939,1.1288207078598762
exp_001,exp_001 baseline mixed surface,geo:zori:zip:62067,zori_zip,11355 (NY),10,0.01986885715365031,0.01938427739649625,0.01655723454144985,0.002827042855046401,0.1458420552502718,0.8333259640153964,0.9756110905923427
exp_001,exp_001 baseline mixed surface,geo:zori:zip:97047,zori_zip,92840 (CA),1,,0.0283191150698874,0.0164880857862286,0.011831029283658801,0.4177753879124247,,
exp_001,exp_001 baseline mixed surface,geo:zori:zip:84619,zori_zip,60617 (IL),10,0.01761312184797111,0.021986837501151137,0.01630621800634089,0.005680619494810249,0.2583645553623997,0.9257994208573103,1.2483214327892613
exp_001,exp_001 baseline mixed surface,geo:zori:zip:61792,zori_zip,10452 (NY),10,0.019797802422177036,0.01661373762122069,0.01620182879294635,0.0004119088282743402,0.024793266732960197,0.8183650107952102,0.8391707961793966
exp_001,exp_001 baseline mixed surface,geo:zori:zip:96846,zori_zip,92376 (CA),9,0.0202492682320869,0.02140059675819489,0.01612485547822911,0.005275741279965777,0.2465230918360044,0.7963179357107698,1.0568577843363052
exp_001,exp_001 baseline mixed surface,geo:zori:zip:98881,zori_zip,96744 (HI),10,0.020502047971813958,0.02234849912311846,0.01595371733184736,0.006394781791271098,0.2861392058608535,0.7781523754983111,1.0900617905997971
