geography_type,geo_count,median_history_months,median_unique_period_count,median_coverage_ratio,median_target_std,p90_target_std,median_mean_abs_target,mean_missing_internal_months
zori_zip,752,114.0,112.0,1.0,0.010573584170076214,0.017358830227655546,0.008697222192230458,0.39893617021276595
zori_city,368,132.0,132.0,1.0,0.00757132837085709,0.010249187010802517,0.0065990504661818505,0.26358695652173914
zori_msa,182,132.0,132.0,1.0,0.006169758246660567,0.00849898013549601,0.005708408142585011,0.12087912087912088
zori_country,1,132.0,132.0,1.0,0.004528354332836659,0.004528354332836659,0.0044819355657796335,0.0
